Column1,Date,ISO,Key phrases,Language,Name,Reviews,Sum of Score sentiment,Sentiment
0,2022-09-27 00:00:00,de,"Weg, Roberto benutzen, super, riesige Terrasse, top, Problem, Stadt, Fahrrädern, Wohnung, schön",German,Fabian,"Die Wohnung ist super gemütlich, sauber und schön. Die riesige Terrasse ist ebenfalls top. Mit den Fahrrädern, die wir von Roberto benutzen konnten, war der Weg in die Stadt kein Problem. Alles bestens!",79.4%,Neutral
1,2022-09-25 00:00:00,de,"Ecke, Brötchen, schönem Ausblick, Lädchen, unseren Hund, eingezäunten Garten lassen, Tolle Terrasse, ä kaufen, Kommunikation, Check",German,Kristin,"Alles super! Kommunikation und Check in und out waren sehr unkompliziert. Toll war außerdem, dass wir unseren Hund in den eingezäunten Garten lassen konnten. Tolle Terrasse mit schönem Ausblick und ein kleines Lädchen um die Ecke zum Brötchen o.ä kaufen.",74.4%,Neutral
2,2022-09-21 00:00:00,de,"Danke Roberto, perfekt",German,Henryka,Wieder einmal alles perfekt! Danke Roberto,100.0%,Positive
3,2022-09-14 00:00:00,de,"tollen Terrasse, top, Wandern, Rennrad, schönen Wohnung, Laufen, Lage",German,Sandra,"Wir hatten eine schöne Zeit auf der tollen Terrasse und in der schönen Wohnung. Die Lage ist top für Wandern, Rennrad oder Laufen. Sehr empfehlenswert!",88.5%,Positive
4,2022-08-31 00:00:00,en,"amazing location, beautifull place, view, car, places, puppy",English,Silke,"What a beautifull place, especially the view! If you travel by car, this is an amazing location to get to surrounding places. We were warmly welcomed and there were bowls ready for our puppy. We would love to come back someday!",100.0%,Positive
5,2022-08-27 00:00:00,de,"Wohnung, super Gastgeber, super hell, Abseits, Minuten, ausgebaute Rad, Zentrum Riva, mitten, romantischen italienischen Kleindorf, ruhiger Lage, riesige Terasse, Flair, absolute Highlight, Zimmer, Freien, Frühstück, Abendessen, Markise, Trubels, Fußwege, See, Aussicht, spitze, Roberto, Klimaanlage, Handumdrehen, Fahrräder, Keller, Problem, deutsch, Abreise, mal, Perfekt",German,Marco,"Roberto ist ein super Gastgeber und spricht auch sehr gut deutsch. Es war alles völlig unkompliziert und wir konnten auch unsere Fahrräder im Keller einschließen. Auch die Abreise war unproblematisch. Die Wohnung ist super hell, sauber, mit allem ausgestattet was wir brauchten. Das absolute Highlight ist die riesige Terasse mit Markise. Man sieht zwar nicht den See aber die Aussicht ist trotzdem spitze. Wie ein weiteres Zimmer im Freien für Frühstück oder Abendessen. Und wenn es mal zu warm war, hat die Klimaanlage im Handumdrehen die Wohnung herunter gekühlt. Die Wohnung liegt etwas Abseits vom Zentrum Riva. Zu Fuß etwa 20 Minuten, mit dem Rad 5-7 Minuten. Alles kein Problem, da es mehrere gut ausgebaute Rad- und Fußwege bis ins Zentrum gibt. Dafür wird man abseits des Trubels, mit ruhiger Lage, mitten im romantischen italienischen Kleindorf-Flair belohnt. Perfekt für uns. Super. Genau das was wir wollten. Würden diese Wohnung immer wieder buchen.",56.6%,Negative
6,2022-08-20 00:00:00,en,"old town area, beautiful apartment, great addition, suggestions, information, Garda lake weather, large terrace, restaurants, walk, host, place, hesitation",English,Marco,"A very beautiful apartment, in a very quite area, not too far from the old town area (15 min walk). The apartment is brand new and very clean. The large terrace is a great addition to enjoy the Garda lake weather. The host was extremely helpful and supportive with information and suggestions about the area, restaurants, etc. Certainly a place to go back to, without hesitation.",100.0%,Positive
7,2022-08-16 00:00:00,en,"great place, area, Roberto’s place, wonderful mountain views, huge balcony, pictures, mother, heat wave, breakfast, drinks, lot of suggestions, bike path, door, light, fan, stay comfortable, peace, air, problem",English,Asuka,"We enjoyed staying at Roberto’s place. It was bigger than it looked in the pictures, light and airy and conveniently located for exploring the area. There was a bike path right outside out the door. The huge balcony has wonderful mountain views and it is a great place to have breakfast or drinks. We came when there was a heat wave and AC worked great and we did not have any problem. Roberto also brought us a fan to circulate the air. Roberto and his mother were very welcoming and caring. He was very quick to respond and had a lot of suggestions about the area. He really made our stay comfortable. Definitely recommended if you want peace and quiet.",100.0%,Positive
8,2022-08-03 00:00:00,en,"big apartament, quiet place, huge terrace, minutes walk, center of Riva, accomodation, Roberto, situation, occasion",English,Tomasz,"The accomodation was perfect, big apartament with huge terrace in quiet place, 20-30 minutes walk from center of Riva. Roberto was very helpful in every situation. Definitely we will come back there in next occasion.",99.9%,Positive
9,2022-07-30 00:00:00,de,"interessante Sehenswürdigkeiten, Beginn Informationen, Empfehlungen, Super tolle Wohnung, Hidden by Airbnb, Fragen, sauberer Lage, Restaurants, Roberto",German,Stefan,"Super tolle Wohnung, in sehr schöner, ruhiger und sauberer Lage. Roberto ist sehr aufmerksam, hat gleich zu Beginn Informationen u. Empfehlungen für interessante Sehenswürdigkeiten, aber auch Restaurants gegeben. Gut über (Hidden by Airbnb) erreichbar bei Fragen. Immer wieder gern.",75.6%,Neutral
