Category: All categories

Month,python machine learning: (United States),r machine learning: (United States)
2013-05,8,4
2013-06,9,8
2013-07,6,5
2013-08,10,6
2013-09,7,8
2013-10,13,7
2013-11,10,7
2013-12,8,10
2014-01,11,10
2014-02,9,11
2014-03,20,9
2014-04,16,17
2014-05,10,12
2014-06,13,13
2014-07,5,18
2014-08,10,16
2014-09,13,16
2014-10,15,12
2014-11,23,18
2014-12,18,17
2015-01,16,18
2015-02,15,20
2015-03,17,20
2015-04,17,22
2015-05,19,26
2015-06,23,20
2015-07,27,21
2015-08,28,25
2015-09,25,25
2015-10,29,15
2015-11,29,19
2015-12,25,14
2016-01,21,18
2016-02,32,21
2016-03,37,16
2016-04,35,19
2016-05,37,18
2016-06,39,16
2016-07,40,14
2016-08,31,20
2016-09,37,18
2016-10,37,18
2016-11,49,20
2016-12,45,20
2017-01,59,25
2017-02,60,31
2017-03,67,31
2017-04,66,30
2017-05,73,24
2017-06,73,26
2017-07,70,25
2017-08,65,22
2017-09,77,27
2017-10,69,28
2017-11,78,30
2017-12,73,28
2018-01,72,23
2018-02,80,28
2018-03,83,32
2018-04,80,29
2018-05,77,26
2018-06,86,25
2018-07,93,21
2018-08,84,23
2018-09,78,19
2018-10,86,24
2018-11,83,27
2018-12,72,24
2019-01,81,23
2019-02,92,22
2019-03,85,25
2019-04,88,21
2019-05,81,21
2019-06,89,27
2019-07,96,17
2019-08,94,22
2019-09,80,20
2019-10,96,19
2019-11,84,23
2019-12,82,16
2020-01,84,22
2020-02,92,21
2020-03,71,15
2020-04,72,21
2020-05,80,13
2020-06,80,16
2020-07,77,14
2020-08,76,16
2020-09,73,14
2020-10,66,13
2020-11,55,13
2020-12,58,10
2021-01,53,12
2021-02,52,8
2021-03,58,14
2021-04,56,14
2021-05,55,10
2021-06,63,12
2021-07,58,7
2021-08,60,11
2021-09,66,15
2021-10,65,14
2021-11,71,13
2021-12,50,13
2022-01,70,12
2022-02,100,21
2022-03,88,16
2022-04,96,22
2022-05,83,17
2022-06,85,16
2022-07,90,18
2022-08,91,16
2022-09,90,19
2022-10,99,20
2022-11,96,19
2022-12,81,19
2023-01,88,13
2023-02,97,13
2023-03,80,16
2023-04,77,16
