Sample O'Reilly books and videos,
,
Note about the data: The prices are randomly generated and do not correspond to actual prices on Amazon or otherwise,
,
,
Title,Amazon Price
"(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide, 9th Edition",book  32.72
"A Guide to the Project Management Body of Knowledge ( PMBOK® Guide )—Sixth Edition",book  46.86
"A Guide to the Project Management Body of Knowledge (PMBOK® Guide) – Seventh Edition and The Standard for Project Management",book  31.09
"AWS Certified Cloud Practitioner Exam Guide",book  14.9
"AWS Certified Solutions Architect Study Guide with 900 Practice Test Questio, 4th Edition",book  39.41
"Building Microservices, 2nd Edition",book  39.06
"CCNA 200-301 Official Cert Guide Library",book  21.23
"CCNP and CCIE Enterprise Core ENCOR 350-401 Official Cert Guide",book  12.56
"Clean Code: A Handbook of Agile Software Craftsmanship",book  26.92
"CompTIA Security+ All-in-One Exam Guide, Sixth Edition (Exam SY0-601))",book  21.71
"Deep Learning with Python, Second Edition",book  29.81
"Designing Data-Intensive Applications",book  39
"Designing Machine Learning Systems",book  15.16
"Docker: Up & Running, 3rd Edition",book  19.24
"Effective Java, 3rd Edition",book  35.65
"Fluent Python, 2nd Edition",book  21.54
"Fundamentals of Data Engineering",book  16.17
"Fundamentals of Software Architecture",book  16.96
"Generative Deep Learning, 2nd Edition",book  33.91
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow, 2nd Edition",book  45.82
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow, 3rd Edition",book  24.46
"Head First Design Patterns, 2nd Edition",book  12.99
"Head First Java, 3rd Edition",book  15.17
"Introducing Python, 2nd Edition",book  36.11
"JavaScript: The Definitive Guide, 7th Edition",book  48.95
"Kafka: The Definitive Guide, 2nd Edition",book  25.2
"Kubernetes in Action",book  30.36
"Kubernetes: Up and Running, 3rd Edition",book  21.27
"Learning Go",book  35.34
"Learning SQL, 3rd Edition",book  15.98
"Mastering API Architecture",book  24.2
"Microservices Patterns",book  33.44
"Natural Language Processing with Transformers, Revised Edition",book  42.94
"OCP Oracle Certified Professional Java SE 17 Developer Study Guide",book  49.37
"Programming Rust, 2nd Edition",book  28.59
"Python Crash Course, 3rd Edition",book  25.32
"Python for Data Analysis, 3rd Edition",book  37.4
"Quick Start Guide to Large Language Models: Strategies and Best Practices for using ChatGPT and Other LLMs",book  24.77
"Software Engineering at Google",book  20
"Terraform: Up and Running, 3rd Edition",book  28.81
"The Pragmatic Programmer: your journey to mastery, 2nd Edition",book  18.14
"The Rust Programming Language, 2nd Edition",book  30.08
"The Staff Engineer's Path",book  9.59
"What Are ChatGPT and Its Friends?",article  0
"Angular - The Complete Guide [2023 Edition]",video  0
"Clean Code Fundamentals, Expanded Edition",video  0
"CompTIA Security+ SY0-601",video  0
"Python Fundamentals",video  0
"React - The Complete Guide (Includes Hooks, React Router, and Redux) - Second Edition",video  0
"Red Hat Certified System Administrator (RHCSA) RHEL 9",video  0
