Sample O'Reilly books and videos,,,,,
,,,,,
Note about the data: The prices are randomly generated and do not correspond to actual prices on Amazon or otherwise,,,,,
,,,,,
,,,,,
Title,Authors,Price,Type,Formula,Amazon Price
"(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide, 9th Edition","M. Chapple, J. M. Stewart, D. Gibson",$32.72,book,book  32.72,book  32.72
A Guide to the Project Management Body of Knowledge ( PMBOK® Guide )—Sixth Edition,Project Management Institute,$46.86,book,book  46.86,book  46.86
A Guide to the Project Management Body of Knowledge (PMBOK® Guide) – Seventh Edition and The Standard for Project Management,Project Management Institute,$31.09,book,book  31.09,book  31.09
Angular - The Complete Guide [2023 Edition],M. Schwarzmüller,$0.00,video,video  0,video  0
AWS Certified Cloud Practitioner Exam Guide,R. Daswani,$14.90,book,book  14.9,book  14.9
"AWS Certified Solutions Architect Study Guide with 900 Practice Test Questio, 4th Edition","D. Clinton, B. Piper",$39.41,book,book  39.41,book  39.41
"Building Microservices, 2nd Edition",S. Newman,$39.06,book,book  39.06,book  39.06
CCNA 200-301 Official Cert Guide Library,W. Odom,$21.23,book,book  21.23,book  21.23
CCNP and CCIE Enterprise Core ENCOR 350-401 Official Cert Guide,"B. Edgeworth, R.G. Rios, D. Hucaby, J. Gooley",$12.56,book,book  12.56,book  12.56
"Clean Code Fundamentals, Expanded Edition",Robert C. Martin,$0.00,video,video  0,video  0
Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,$26.92,book,book  26.92,book  26.92
"CompTIA Security+ All-in-One Exam Guide, Sixth Edition (Exam SY0-601))","Wm. Arthur Conklin, Greg White, Dwayne Williams, Roger L. Davis, Chuck Cothren",$21.71,book,book  21.71,book  21.71
CompTIA Security+ SY0-601,Sari Greene,$0.00,video,video  0,video  0
"Deep Learning with Python, Second Edition",Francois Chollet,$29.81,book,book  29.81,book  29.81
Designing Data-Intensive Applications,Martin Kleppmann,$39.00,book,book  39,book  39
Designing Machine Learning Systems,Chip Huyen,$15.16,book,book  15.16,book  15.16
"Docker: Up & Running, 3rd Edition","Sean P. Kane, Karl Matthias",$19.24,book,book  19.24,book  19.24
"Effective Java, 3rd Edition",Joshua Bloch,$35.65,book,book  35.65,book  35.65
"Fluent Python, 2nd Edition",Luciano Ramalho,$21.54,book,book  21.54,book  21.54
