,listing_id,id,date,reviewer_name,comments
14485,6937576.0,38531104.0,2015-07-16,Adrien,Cinzia and her husband was very kind and available to show us the pizzeria and the gellateria in their town. We had some interesting talk and they advise us on the things to do and see in the area. We really appreciate to meet them!
14490,6937576.0,38806136.0,2015-07-18,Adele,"Amazing place, fantastic experience! Will be recommending to everyone "
14491,6937576.0,39717850.0,2015-07-25,Anne-Eva,I would definitely recommend this place! It's is a beautiful (big) house with a very nice terrace that has a view of the mountains. Roberto and Cinzia are very friendly and helpful hosts! Their son picked us up from the railway station and they provided us with information about the city and a nice breakfast. The house is spacious and clean. Thank you Roberto for helping us plan our trip to Folgaria and for looking after our backpacks after check-out!
14492,6937576.0,41520652.0,2015-08-07,Maria,"Roberto ci ha accolto calorosamente nel suo enorme appartamento, durante il soggiorno è sempre stato disponibile e attento alle nostre esigenze, l'appartamento è arredato con gran gusto e situato in una zona veramente carina in cui passeggiare a pochi minuti da natura, città e negozi!"
14493,6937576.0,41799732.0,2015-08-09,Davide,"Cinzia e Roberto sono stati gentilissimi, hanno fatto di tutto per metterci a nostro agio e farci apprezzare il meglio di Rovereto e dintorni. La casa, del diciottesimo secolo, si trova in una posizione eccellente sia per visitare il centro della cittadina sia per utilizzare la pista ciclabile. L'appartamento è fantastico e molto grande (a occhio supera i 200 mq) e si percepisce la storia della famiglia dall'arredamento. Consigliatissimo!"
14494,6937576.0,42179225.0,2015-08-11,Sara,"Purtroppo non ho conosciuto Cinzia, ma suo marito è stato molto gentile ed estremamente disponibile. L'appartamento è molto pulito e anche troppo grande; si trova in un bel quartiere di Rovereto in un palazzo piuttosto antico e signorile. "
14495,6937576.0,42495679.0,2015-08-13,Christina,"Gorgeous place! Great experience! The place is located in the beautiful town of Rovereto. Our hosts were very friendly, easy to communicate with and fun. The aparment looks like it came out of a Felini movie and you'll get a true Italian experience by staying there! It's actually better than it looks in the pictures. It is really big and clean, it has a large terrace, painted ceilings and you are even provided with fruits and coffee for breakfast. Internet is a bit slow. Also, there is a great gelateria nearby for authentic ice cream and they have a private parking spot. We had a great time and we would love to visit again! "
14505,6937576.0,42642152.0,2015-08-14,Antonio,"Il nostro soggiorno da Cinzia e Roberto è stato eccellente. Bella casa situata in un quartiere tranquillo a pochi minuti dall'Adige. Comunicazione esaustiva, rapida e cordiale, prezzo più che ragionevole. Consiglio assolutamente!"
14506,6937576.0,43124243.0,2015-08-17,Patrizia,"Posto assolutamente splendido dove si vive veramente un'atmosfera di vissuto. Padroni di casa superlativi, oltre che disponibili anche molto informati."
14507,6937576.0,43455860.0,2015-08-19,Francesca,"Appartamento più che spazioso, pulitissimo e con parcheggio comodo. Cinzia e Roberto sono stati gentili e disponibili e ci hanno fatto trovare tutto il necessario per un ottima colazione, cesto di frutta fresca compreso :) Assolutamente consigliato per visitare Rovereto e dintorni"
14509,6937576.0,43697701.0,2015-08-21,Ilaria,"Grazie a Roberto e a Cinzia il nostro soggiorno a rovereto è stato ottimo. La casa è spaziosa, confortevole e pulita, si trova in un quartiere molto interessante, che normalmente non si include in una visita che prevede solo la scoperta del centro storico, il che rappresenta una occasione ulteriore per entrare nello spirito del luogo che si visita. L'accoglienza è stata premurosa e volta a farci sentire supportati in caso di necessità. Molto piacevoli le chiacchierate e il tempo trascorso insieme. "
14510,6937576.0,43866806.0,2015-08-22,Filippo,"Ci ha accolti Roberto, il marito di Cinzia, è stato gentile ed ospitale. Il palazzo è stupendo e l'appartamento dove abbiamo alloggiato è squisito. Ci è stata offerta una prima colazione semplice ma inaspettata che ci ha reso la mattinata migliore visto che stavamo compiendo un lungo viaggio in bici in direzione dall'Austria. Pernottamento ottimo, bagno essenziale ma pulito, come il resto dell'appartamento."
