TransNum,Date,WeekStartingSat,WeekNum,Location,Product,Coil,Price,Quantity,Total,Type_Drink,Type_Food,Category_Carbonated,Category_Non Carbonated,Category_Salty,Category_Sweet,Category_Water,HealthyMarketing_False,HealthyMarketing_True,Payment_Cash,Payment_Credit,DayOfWeek_Sat,DayOfWeek_Sun,DayOfWeek_Mon,DayOfWeek_Tue,DayOfWeek_Wed,DayOfWeek_Thu,DayOfWeek_Fri
0,1/1/22,1/1/22,0,Mall 1,Red Bull - Energy Drink - Sugar Free,148,3.5,1,3.5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1,1/1/22,1/1/22,0,Mall 1,Red Bull - Energy Drink - Sugar Free,148,3.5,1,3.5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
2,1/1/22,1/1/22,0,Mall 1,Takis - Hot Chilli Pepper & Lime,123,1.5,1,1.5,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
3,1/1/22,1/1/22,0,Mall 1,Takis - Hot Chilli Pepper & Lime,123,1.5,1,1.5,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
4,1/1/22,1/1/22,0,Mall 1,Red Bull - Energy Drink - Sugar Free,148,3.5,1,3.5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
5,1/2/22,1/1/22,0,Mall 2,Bai Antioxidant - Brasilia BB,146,2.5,1,2.5,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
6,1/3/22,1/1/22,0,Mall 2,Miss Vickie's Potato Chip - Sea Salt & Vinegar,114,1.5,1,1.5,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
7,1/3/22,1/1/22,0,Office,Miss Vickie's Potato Chip - Lime & Cracked Pe,110,1.5,1,1.5,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
8,1/3/22,1/1/22,0,Factory,Monster Energy Original,144,3,1,3,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
9,1/3/22,1/1/22,0,Office,Seapoint Farms Dry Roasted Edamame - Wasabi,134,2.5,1,2.5,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
10,1/3/22,1/1/22,0,Factory,Snapple Diet Tea - Lemon,143,2.5,1,2.5,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
11,1/3/22,1/1/22,0,Factory,Skinny Pop Popcorn,111,1.5,1,1.5,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
12,1/3/22,1/1/22,0,Factory,Stretch Island Fruit Leathers Snacks - Variet,131,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
13,1/3/22,1/1/22,0,Office,KitKat - Crisp Wafers,136,1.75,1,1.75,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
14,1/3/22,1/1/22,0,Factory,Skinny Pop Popcorn,111,1.5,1,1.5,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
15,1/3/22,1/1/22,0,Office,Wonderful Pistachios - Variety,132,2,1,2,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
