,Miss Vickie's Potato Chip - Sea Salt & Vinega,SunChips Multigrain - Original,Chesters Fries Flaming hot,Nutri Grain Apple Cinnamon,CheezIt - Original,Takis FUGEO mini,Sunkist Soda - Orange,SunChips Multigrain - Salsa,Pop Corners - Spicy Queso,Ruffles Baked  - Cheddar & Sour Cream,Pure Organic Pineapple Passionfruit,Doritos Cool Ranch,Pop Corners - Kettle Corn,Doritos Famin Hot Nacho,CheezIt - White Cheddar,Mini Chips Ahoy,Hersheys Milk Chocolate,Stretch Island Fruit Leathers Snacks - Variet,Snapple Lemonade - black berry,Snapple Tea - Peach,Pure Organic Fruit Bar - Strawberry Banana,Cheetos - Fleming Hot Crunchy,Cheetos Baked - Flaming Hot,Cheetos - Crunchy,Quaker Apple Cinnamon Rice Crisps,Nature's Bakery Fig Bar - Blueberry,SunChips Multigrain - French Onion,Lays - Classic,Monster Energy Original,Skinny Pop Popcorn,Jack Links Beef Steak Original,Quaker Caramel Rice Crisps,Snapple Lemonade - watermelon,Pop Corners - Sea Salt,Coca Cola - Zero Sugar,Newtons Fig Bar,Jacks Links Bar Beef Strip,Lays - Barbecue,Nutter Butter Bites,Good Health Veggie Stix - Zesty Ranch,Funyuns - Flaming Hot,Popchips Potato - Barbeque,Pure Organic Fruit Bar - Raspberry Lemonade,Goldfish Baked - Cheddar,Snapple Tea - Lemon,Quaker ButterMilk Ranch Rice Crisps,Miss Vickie's Potato Chip - Lime & Cracked Pe,Cheetos Puffs,Oreo Single Server 6 ct,KitKat - Crisp Wafers,Quaker Cheddar Rice Crisps,CheezIt - Double Cheese,Munchies Snack mix Flaming Hot,Red Bull - Original,Snapple Lemonade - pineapple,Cheetos Flaming Hot Limon Crunchy,Miss Vickie's Potato Chip - Jalapeno,Fritos - Original,Pure Organic Fruit Bar - Pineapple Passion Fr,SunChips Multigrain - Harvest Cheddar,Cheetos Cheddar Jalapeno,Spindrift - Sparkling Water  Lime,Pop Corners - White Cheddar,Chum Fruit Bites - Mango/Strawberry,Cheetos Baked - Crunchy Cheese,Snapple Diet Tea - Peach Tea,Snapple Diet Tea - Lemon,Good Health Veggie Stix - Sea Salt,Nature's Bakery Fig Bar - Raspberry,Doritos Nacho Cheese,Takis - Hot Chilli Pepper & Lime,Miss Vickie's Potato Chip - Smokehouse BBQ,Snapple Tea - Raspberry,Oreo Mini,Ritz Bits Cheese,Coca Cola - Regular
Miss Vickie's Potato Chip - Sea Salt & Vinega,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0
SunChips Multigrain - Original,0,0,2,0,0,0,6,2,0,1,0,0,0,5,0,0,2,0,0,2,2,1,2,1,0,2,2,0,9,0,1,0,0,0,3,0,1,0,0,0,4,0,1,0,3,0,0,0,0,4,0,0,0,5,0,7,0,1,0,2,0,0,0,1,3,1,0,0,5,2,0,0,3,0,1,3
Chesters Fries Flaming hot,0,2,0,5,0,2,27,3,0,3,0,4,0,3,0,4,2,0,0,8,1,14,4,5,0,4,3,5,43,3,4,0,0,0,23,1,1,0,1,2,11,1,0,0,3,0,1,9,5,20,0,0,3,27,0,10,4,5,0,5,3,0,0,2,1,5,2,2,10,2,0,1,14,4,7,14
Nutri Grain Apple Cinnamon,0,0,5,0,0,0,15,0,5,0,0,4,0,0,0,1,0,3,0,4,0,2,0,0,1,2,0,7,16,0,0,0,0,4,12,3,1,0,0,2,8,0,0,0,4,0,0,6,0,13,0,0,0,10,0,6,0,6,0,0,5,0,1,2,0,7,5,0,0,0,0,0,6,2,2,3
CheezIt - Original,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,4,3,1,0,0,0,3,2,0,0,2,1,1,0,0,0,0,0,0,0,3,2,0,0,0,1,0,3,0,1,0,1,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0
Takis FUGEO mini,0,0,2,0,0,0,7,0,0,0,0,1,0,1,3,3,1,1,0,3,1,7,3,0,0,6,0,5,19,1,3,0,0,0,7,0,2,1,1,0,2,1,1,3,7,0,1,2,1,4,0,3,0,14,0,6,2,0,1,0,5,0,0,1,1,2,0,5,8,2,0,1,6,0,2,4
Sunkist Soda - Orange,1,6,27,15,1,7,0,9,5,3,0,10,4,23,1,9,4,5,3,26,6,36,6,7,3,19,7,31,114,8,8,3,4,5,54,5,2,0,2,9,43,5,1,3,10,2,0,18,9,50,0,2,5,79,5,34,0,15,0,13,19,0,1,1,5,15,14,4,27,12,0,0,34,11,10,53
SunChips Multigrain - Salsa,0,2,3,0,2,0,9,0,0,0,0,1,0,5,0,1,1,0,2,3,1,3,3,8,0,6,4,1,12,0,0,0,2,0,0,0,0,0,2,2,4,1,1,1,2,0,0,0,0,6,0,0,1,6,3,4,0,3,0,11,0,0,0,1,0,0,0,0,9,3,0,0,3,1,0,8
Pop Corners - Spicy Queso,0,0,0,5,0,0,5,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,1,5,0,0,1,0,2,3,2,1,0,0,2,1,0,0,0,0,0,0,1,0,5,0,0,0,4,0,3,0,4,0,0,2,0,1,0,0,3,2,0,0,0,0,0,3,0,0,0
Ruffles Baked  - Cheddar & Sour Cream,0,1,3,0,0,0,3,0,0,0,0,5,0,7,0,0,1,0,0,2,0,1,1,4,0,2,0,5,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,4,0,0,0,3,0,1,0,0,0,2,0,0,0,0,1,0,0,0,4,4,0,0,3,0,0,4
