WeekStartingSat,Location,Total,AvgPriceItemSold,Type_Drink,Type_Food,Category_Carbonated,Category_Non Carbonated,Category_Salty,Category_Sweet,Category_Water,HealthyMarketing_False,HealthyMarketing_True,Payment_Cash,Payment_Credit,DayOfWeek_Sat,DayOfWeek_Sun,DayOfWeek_Mon,DayOfWeek_Tue,DayOfWeek_Wed,DayOfWeek_Thu,DayOfWeek_Fri
1/1/22,Factory,58.5,1.671428571,0.228571429,0.771428571,0.171428571,0.057142857,0.342857143,0.428571429,0,0.514285714,0.485714286,0.942857143,0.057142857,0,0,0.228571429,0.342857143,0.171428571,0.142857143,0.114285714
1/8/22,Factory,61.5,1.5375,0.425,0.575,0.425,0,0.4,0.175,0,0.625,0.375,0.85,0.15,0.05,0,0.05,0.1,0.025,0.275,0.5
1/15/22,Factory,178.25,1.876315789,0.463157895,0.536842105,0.347368421,0.115789474,0.357894737,0.178947368,0,0.589473684,0.410526316,0.863157895,0.136842105,0.168421053,0,0.094736842,0.242105263,0.284210526,0.136842105,0.073684211
1/22/22,Factory,124.5,1.575949367,0.602564103,0.397435897,0.58974359,0.012820513,0.358974359,0.038461538,0,0.692307692,0.307692308,0.820512821,0.179487179,0,0,0.025641026,0.115384615,0.320512821,0.307692308,0.230769231
1/29/22,Factory,121,1.657534247,0.671232877,0.328767123,0.589041096,0.082191781,0.246575342,0.082191781,0,0.589041096,0.410958904,0.808219178,0.191780822,0.068493151,0,0.219178082,0.232876712,0.02739726,0.315068493,0.136986301
2/5/22,Factory,96,1.882352941,0.607843137,0.392156863,0.588235294,0.019607843,0.333333333,0.058823529,0,0.784313725,0.215686275,0.764705882,0.235294118,0.078431373,0,0.215686275,0.098039216,0.176470588,0.137254902,0.294117647
2/12/22,Factory,144,1.756097561,0.567901235,0.432098765,0.481481481,0.086419753,0.24691358,0.185185185,0,0.679012346,0.320987654,0.716049383,0.283950617,0.024691358,0,0.222222222,0.197530864,0.148148148,0.234567901,0.172839506
2/19/22,Factory,100.5,1.896226415,0.333333333,0.666666667,0.156862745,0.176470588,0.274509804,0.392156863,0,0.725490196,0.274509804,0.823529412,0.176470588,0.058823529,0,0.156862745,0.078431373,0.039215686,0.333333333,0.333333333
2/26/22,Factory,140,1.707317073,0.597560976,0.402439024,0.585365854,0.012195122,0.268292683,0.134146341,0,0.670731707,0.329268293,0.707317073,0.292682927,0.085365854,0,0.109756098,0.219512195,0.231707317,0.182926829,0.170731707
3/5/22,Factory,97.75,1.656779661,0.5,0.5,0.5,0,0.344827586,0.155172414,0,0.689655172,0.310344828,0.706896552,0.293103448,0.137931034,0,0.120689655,0.224137931,0.103448276,0.206896552,0.206896552
